# OECD Entrepreneurship Financing DB, 'Venture capital investments
# (market statistics)', dataflow DSD_VC@DF_VC_INV. Total stage only,
# % of GDP and absolute US$ (millions). Accessed 2026-06-24.
country,stage,unit,year,value
Bulgaria,Later stage venture,"US dollars, exchange rate converted",2019,0.0
Bulgaria,Later stage venture,Percentage of GDP,2019,0.0
Bulgaria,Later stage venture,"US dollars, exchange rate converted",2021,0.0
Bulgaria,Later stage venture,Percentage of GDP,2021,0.0
Bulgaria,Later stage venture,Percentage of GDP,2022,0.0
Bulgaria,Later stage venture,"US dollars, exchange rate converted",2022,0.0
Croatia,Later stage venture,Percentage of GDP,2009,0.0
Croatia,Later stage venture,"US dollars, exchange rate converted",2009,0.0
Croatia,Later stage venture,"US dollars, exchange rate converted",2010,0.0
Croatia,Later stage venture,Percentage of GDP,2010,0.0
Croatia,Later stage venture,Percentage of GDP,2011,0.0
Croatia,Later stage venture,"US dollars, exchange rate converted",2011,0.0
Croatia,Later stage venture,Percentage of GDP,2013,0.0
Croatia,Later stage venture,"US dollars, exchange rate converted",2013,0.0
Croatia,Later stage venture,"US dollars, exchange rate converted",2014,0.0
Croatia,Later stage venture,Percentage of GDP,2014,0.0
Croatia,Later stage venture,Percentage of GDP,2015,0.0
Croatia,Later stage venture,"US dollars, exchange rate converted",2015,0.0
Croatia,Later stage venture,"US dollars, exchange rate converted",2016,0.0
Croatia,Later stage venture,Percentage of GDP,2016,0.0
Croatia,Later stage venture,Percentage of GDP,2017,0.0
Croatia,Later stage venture,"US dollars, exchange rate converted",2017,0.0
Croatia,Later stage venture,"US dollars, exchange rate converted",2018,0.0
Croatia,Later stage venture,Percentage of GDP,2018,0.0
Romania,Later stage venture,"US dollars, exchange rate converted",2008,0.0
Romania,Later stage venture,Percentage of GDP,2008,0.0
Romania,Later stage venture,Percentage of GDP,2009,0.0
Romania,Later stage venture,"US dollars, exchange rate converted",2009,0.0
Romania,Later stage venture,"US dollars, exchange rate converted",2010,0.0
Romania,Later stage venture,Percentage of GDP,2010,0.0
Romania,Later stage venture,Percentage of GDP,2017,0.0
Romania,Later stage venture,"US dollars, exchange rate converted",2017,0.0
Romania,Later stage venture,"US dollars, exchange rate converted",2018,0.0
Romania,Later stage venture,Percentage of GDP,2018,0.0
Czechia,Start-up and other early stage,"US dollars, exchange rate converted",2008,0.0
Czechia,Start-up and other early stage,Percentage of GDP,2008,0.0
Czechia,Start-up and other early stage,Percentage of GDP,2009,0.0
